site,year,flow_metric,result
11530500,1911,DS_Dur_WS,137
11530500,1911,DS_Tim,318
11530500,1911,DS_Mag_50,2760
11530500,1911,DS_Mag_90,4500
11530500,1911,FA_Dur,NA
11530500,1911,FA_Mag,NA
11530500,1911,FA_Tim,NA
11530500,1911,SP_ROC,0.044264115207523755
11530500,1911,SP_Dur,108
11530500,1911,SP_Mag,31900
11530500,1911,SP_Tim,210
11530500,1911,Wet_BFL_Dur,174
11530500,1911,Wet_BFL_Mag_10,10000
11530500,1911,Wet_BFL_Mag_50,18950
11530500,1911,Wet_Tim,36
11530500,1911,Peak_Tim_10,NA
11530500,1911,Peak_Tim_2,NA
11530500,1911,Peak_Tim_5,NA
11530500,1911,Peak_Dur_10,NA
11530500,1911,Peak_Dur_2,NA
11530500,1911,Peak_Dur_5,NA
11530500,1911,Peak_10,270399.99999999994
11530500,1911,Peak_2,125000
11530500,1911,Peak_5,181600
11530500,1911,Peak_Fre_10,NA
11530500,1911,Peak_Fre_2,NA
11530500,1911,Peak_Fre_5,NA
11530500,1912,DS_Dur_WS,63
11530500,1912,DS_Tim,321
11530500,1912,DS_Mag_50,3900
11530500,1912,DS_Mag_90,5420
11530500,1912,FA_Dur,3
11530500,1912,FA_Mag,4719.9837089549565
11530500,1912,FA_Tim,40
11530500,1912,SP_ROC,0.037229830061046035
11530500,1912,SP_Dur,95
11530500,1912,SP_Mag,39100
11530500,1912,SP_Tim,226
11530500,1912,Wet_BFL_Dur,137
11530500,1912,Wet_BFL_Mag_10,14400
11530500,1912,Wet_BFL_Mag_50,21200
11530500,1912,Wet_Tim,89
11530500,1912,Peak_Tim_10,NA
11530500,1912,Peak_Tim_2,139
11530500,1912,Peak_Tim_5,NA
11530500,1912,Peak_Dur_10,NA
11530500,1912,Peak_Dur_2,1
11530500,1912,Peak_Dur_5,NA
11530500,1912,Peak_10,270399.99999999994
11530500,1912,Peak_2,125000
11530500,1912,Peak_5,181600
11530500,1912,Peak_Fre_10,NA
11530500,1912,Peak_Fre_2,1
11530500,1912,Peak_Fre_5,NA
11530500,1913,DS_Dur_WS,117
11530500,1913,DS_Tim,324
11530500,1913,DS_Mag_50,4100
11530500,1913,DS_Mag_90,10000
11530500,1913,FA_Dur,NA
11530500,1913,FA_Mag,NA
11530500,1913,FA_Tim,NA
11530500,1913,SP_ROC,0.04402574328773591
11530500,1913,SP_Dur,86
11530500,1913,SP_Mag,33100
11530500,1913,SP_Tim,238
11530500,1913,Wet_BFL_Dur,220
11530500,1913,Wet_BFL_Mag_10,9370
11530500,1913,Wet_BFL_Mag_50,23000
11530500,1913,Wet_Tim,18
11530500,1913,Peak_Tim_10,NA
11530500,1913,Peak_Tim_2,NA
11530500,1913,Peak_Tim_5,NA
11530500,1913,Peak_Dur_10,NA
11530500,1913,Peak_Dur_2,NA
11530500,1913,Peak_Dur_5,NA
11530500,1913,Peak_10,270399.99999999994
11530500,1913,Peak_2,125000
11530500,1913,Peak_5,181600
11530500,1913,Peak_Fre_10,NA
11530500,1913,Peak_Fre_2,NA
11530500,1913,Peak_Fre_5,NA
11530500,1914,DS_Dur_WS,144
11530500,1914,DS_Tim,312
11530500,1914,DS_Mag_50,5180
11530500,1914,DS_Mag_90,10700
11530500,1914,FA_Dur,6
11530500,1914,FA_Mag,26799.770893916582
11530500,1914,FA_Tim,36
11530500,1914,SP_ROC,0.04436244362443624
11530500,1914,SP_Dur,111
11530500,1914,SP_Mag,58300
11530500,1914,SP_Tim,201
11530500,1914,Wet_BFL_Dur,126
